Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2017,Fons_Documentals,"Biblioteca Vila de Gràcia",52543,,,06,Gràcia,31,"la Vila de Gràcia","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.401467067,2.158213802
2017,Fons_Documentals,"Biblioteca El Carmel - Juan Marsé",99775,,,07,Horta-Guinardó,37,"el Carmel","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.421104560,2.155286623
2017,Fons_Documentals,"Biblioteca Guinardó - Mercè Rodoreda",97965,,,07,Horta-Guinardó,33,"el Baix Guinardó","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.414313258,2.165318095
2017,Fons_Documentals,"Biblioteca Horta - Can Mariner",56328,,,07,Horta-Guinardó,43,Horta,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.431105502,2.160733590
2017,Fons_Documentals,"Biblioteca Montbau - Albert Pérez Baró",39617,,,07,Horta-Guinardó,40,Montbau,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.429553532,2.142195427
2017,Fons_Documentals,"Biblioteca Canyelles",30872,,,08,"Nou Barris",49,Canyelles,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.443773486,2.164322669
2017,Fons_Documentals,"Biblioteca Les Roquetes",37413,,,08,"Nou Barris",50,"les Roquetes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.445371792,2.177103706
2017,Fons_Documentals,"Biblioteca Nou Barris",94451,,,08,"Nou Barris",48,"la Guineueta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.436813681,2.171212448
2017,Fons_Documentals,"Biblioteca Vilapicina i la Torre Llobeta",43997,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.426885098,2.176452383
2017,Fons_Documentals,"Biblioteca Zona Nord",48938,,,08,"Nou Barris",54,"Torre Baró","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.461237425,2.179875786
2017,Fons_Documentals,"Biblioteca Bon Pastor",51277,,,09,"Sant Andreu",59,"el Bon Pastor","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.435164144,2.204659876
2017,Fons_Documentals,"Biblioteca Ignasi Iglésias - Can Fabra",138236,,,09,"Sant Andreu",60,"Sant Andreu","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.434481450,2.190871493
